account,symbol,execution_price,size,side,time,start_position,event,closedPnl,leverage
0x8ba13e23,APT,9.3604,16.0961,Buy,2024-01-04 07:41:02,39.1176,fill,102.46,3
0x8362d113,LINK,13.3942,6.0891,Sell,2024-01-04 05:28:31,-11.1912,fill,-63.46,10
0x2ebb92af,SOL,95.7948,12.9747,Buy,2024-01-04 05:15:08,18.1121,fill,-215.2,20
0xb7ac9740,DOGE,0.0805,3.7736,Sell,2024-01-04 21:56:18,-13.0483,fill,22.22,20
0x5eec9e8b,BTC,39852.969,8.098,Buy,2024-01-04 02:51:22,8.4798,fill,-0.95,5
0x718397ca,LINK,13.355,10.5124,Buy,2024-01-04 07:24:07,16.0317,fill,-33.87,10
0xdbb8fa6e,ETH,2304.8245,18.1203,Sell,2024-01-04 21:42:08,-84.462,fill,-58.38,2
0xb355791f,AVAX,36.4316,5.1192,Buy,2024-01-04 12:19:31,131.9173,liquidation,-23.17,2
0x2ebb92af,AVAX,35.4345,12.256,Buy,2024-01-04 20:57:08,36.2177,funding,5.83,2
0x339381eb,APT,9.475,15.0535,Buy,2024-01-04 04:04:27,26.8257,fill,119.04,2
0x6704a0b6,AVAX,35.3526,0.3171,Sell,2024-01-04 19:55:40,-9.8542,fill,2.38,10
0x20cc0e16,APT,9.3621,18.3208,Buy,2024-01-04 08:31:26,17.9982,fill,78.97,10
0xd3dfa2f0,BTC,40280.4255,30.7029,Buy,2024-01-04 18:37:29,37.2188,fill,5.28,2
0x734c7e29,LINK,13.8268,19.3631,Buy,2024-01-05 11:05:40,29.2064,fill,102.52,5
0x718397ca,BTC,40230.6209,22.2939,Sell,2024-01-05 04:18:21,-120.8282,fill,-40.75,5
0xe4a395f7,LINK,13.9539,13.7519,Buy,2024-01-05 17:11:38,9.6863,liquidation,-187.85,5
0xe34cbfaf,ARB,1.2228,23.8094,Buy,2024-01-05 07:01:53,84.9706,fill,251.49,2
0x8362d113,ETH,2185.7984,12.835,Buy,2024-01-05 18:16:17,28.2156,fill,-4.73,5
0xf87faa6d,APT,9.6168,8.4618,Buy,2024-01-05 07:37:03,65.8668,fill,28.44,5
0x8362d113,AVAX,34.4746,12.1655,Buy,2024-01-05 09:10:56,39.5435,fill,-31.36,3
0x8362d113,DOGE,0.0823,5.6841,Buy,2024-01-05 22:55:18,31.1095,fill,-13.51,5
0xb355791f,BTC,41742.8736,3.0731,Sell,2024-01-05 17:38:17,-22.609,fill,13.82,5
0xed407866,AVAX,34.8386,37.7972,Buy,2024-01-05 00:20:27,85.2106,fill,90.62,10
0xa1b4c210,SOL,94.4389,2.4774,Buy,2024-01-05 03:01:25,333.356,fill,13.05,3
0x5ac236be,APT,9.9091,18.7763,Buy,2024-01-05 05:39:27,4.2904,fill,77.06,2
0xdbcd12c2,AVAX,34.7095,26.9756,Buy,2024-01-05 04:01:59,18.7824,fill,-96.05,5
0xdbcd12c2,BTC,42623.1414,37.7166,Sell,2024-01-05 08:40:45,-40.4766,fill,338.83,3
0x20cc0e16,MATIC,0.8785,53.9144,Buy,2024-01-05 19:13:53,22.2431,fill,-459.49,3
0x8ba13e23,OP,3.3088,4.5329,Buy,2024-01-05 02:26:51,16.7069,fill,13.74,5
0x46d9b92c,DOGE,0.0843,1.4956,Buy,2024-01-05 15:27:49,79.9745,fill,0.55,2
0x5eec9e8b,DOGE,0.0831,11.1474,Buy,2024-01-05 07:22:24,11.6678,fill,225.04,10
0x86c7538c,MATIC,0.9186,33.7521,Buy,2024-01-05 18:41:59,26.381,fill,163.38,2
0xc744240f,MATIC,0.9188,53.1413,Buy,2024-01-05 14:13:28,15.5707,fill,-593.95,10
0x17963822,SOL,92.1923,73.8283,Buy,2024-01-05 17:55:36,2.9798,fill,-46.94,10
0x7351513a,SOL,92.1561,5.6861,Sell,2024-01-05 03:31:09,-47.2138,fill,37.88,10
0xc93b82a3,MATIC,0.9171,8.88,Buy,2024-01-05 16:50:53,92.9237,fill,81.07,3
0xc21209c3,ARB,1.1908,86.5294,Buy,2024-01-05 00:12:53,5.3519,fill,-542.14,3
0x6eda1624,ETH,2328.9956,6.2077,Buy,2024-01-05 10:31:21,27.0452,fill,-35.97,10
0x7218933c,MATIC,0.8868,0.8592,Sell,2024-01-05 11:37:24,-75.5622,fill,-12.98,20
0x1600888d,APT,9.8678,4.9486,Buy,2024-01-05 18:28:56,35.147,fill,50.91,20
0x2a4c73f5,APT,9.1625,13.2833,Buy,2024-01-06 11:07:39,37.2701,fill,-65.42,20
0x8362d113,APT,9.8639,7.1637,Buy,2024-01-06 02:22:55,3.2947,fill,26.36,3
0xdbb8fa6e,DOGE,0.0763,5.4909,Buy,2024-01-06 08:19:58,19.3262,fill,-23.36,5
0x20cc0e16,AVAX,34.4937,26.9984,Sell,2024-01-06 02:31:15,-8.7054,fill,67.62,3
0xad8c19b0,APT,9.6853,51.9013,Sell,2024-01-06 22:34:58,-11.0259,fill,349.32,2
0x16d92688,APT,9.6037,1.3901,Buy,2024-01-06 16:27:00,25.8019,fill,15.23,5
0x7218933c,DOGE,0.0799,14.4357,Buy,2024-01-06 03:29:12,46.7813,fill,-13.65,5
0x6704a0b6,BTC,41166.6147,12.8518,Buy,2024-01-06 23:23:48,42.6853,fill,-288.67,5
0xbc5a4471,AVAX,32.3953,0.7573,Buy,2024-01-06 21:47:13,30.0828,fill,-6.66,3
0xc21209c3,LINK,14.7712,2.7592,Buy,2024-01-06 07:37:40,19.6436,fill,-12.71,5
0xa1b4c210,MATIC,0.9062,2.4871,Buy,2024-01-06 11:20:11,48.2571,fill,25.92,5
0x6eda1624,ETH,2328.426,23.5209,Sell,2024-01-06 09:21:25,-30.8087,fill,20.27,2
0xd6f9bd6e,BTC,41336.3386,16.8921,Sell,2024-01-06 12:54:23,-35.2432,fill,205.4,20
0xa791ffc1,LINK,14.1481,8.3628,Sell,2024-01-06 20:42:23,-13.7659,liquidation,-29.5,2
0xc744240f,BTC,39816.1565,17.76,Buy,2024-01-06 16:52:07,4.416,funding,6.64,2
0x105653e3,ETH,2327.935,17.5409,Sell,2024-01-06 23:57:53,-87.6728,fill,83.72,2
0x5eec9e8b,LINK,12.7958,2.1126,Buy,2024-01-06 17:04:34,8.038,fill,32.72,3
0x46d9b92c,ETH,2401.9402,1.8753,Buy,2024-01-06 22:23:30,35.7141,funding,3.01,2
0x5ac236be,APT,9.837,7.451,Buy,2024-01-06 08:54:15,19.9097,fill,74.11,2
0x6704a0b6,LINK,13.8241,42.9887,Buy,2024-01-06 04:28:13,54.3525,fill,-237.37,10
0x3a2c511e,APT,9.508,18.0029,Sell,2024-01-06 04:40:09,-50.4585,fill,86.65,5
0x5eec9e8b,LINK,14.3131,5.1131,Sell,2024-01-06 17:01:30,-12.936,fill,27.45,2
0xc2da0d2f,APT,9.1445,17.4719,Buy,2024-01-06 17:38:36,205.5686,fill,303.78,3
0xa791ffc1,BTC,41613.7273,20.2853,Buy,2024-01-06 11:54:25,17.9177,fill,-19.32,2
0x181c01b5,OP,3.2087,31.9113,Buy,2024-01-06 14:25:37,20.9106,funding,-4.27,5
0x2a4c73f5,BTC,40286.0745,13.5921,Buy,2024-01-06 17:06:44,16.5973,fill,38.95,5
0xdbb8fa6e,SOL,100.9736,67.0778,Sell,2024-01-06 04:52:43,-43.7114,fill,579.09,2
0x46d9b92c,OP,3.2843,14.5667,Buy,2024-01-06 04:42:33,6.8778,fill,40.4,2
0xb286b60e,BTC,40608.9743,24.8281,Sell,2024-01-06 06:14:20,-27.9464,fill,-66.12,5
0xd6f9bd6e,SOL,96.4214,89.7936,Buy,2024-01-06 11:00:26,49.1858,fill,330.36,10
0x5ac236be,DOGE,0.076,45.242,Sell,2024-01-06 14:59:28,-15.8929,fill,-739.49,20
0x7351513a,OP,3.1593,10.274,Buy,2024-01-06 21:29:24,27.3685,fill,94.24,2
0x46d9b92c,AVAX,33.7769,25.7703,Buy,2024-01-06 16:52:07,46.5219,fill,-162.42,3
0x11633489,ETH,2292.7579,2.0529,Buy,2024-01-06 09:12:10,4.191,fill,17.47,20
0xd3dfa2f0,BTC,41267.0311,6.4989,Buy,2024-01-06 05:48:58,13.5713,fill,69.64,10
0xc2da0d2f,APT,9.232,14.3258,Buy,2024-01-07 19:41:15,16.1201,fill,-184.39,20
0x7351513a,LINK,13.9946,12.5463,Sell,2024-01-07 21:02:12,-17.2356,fill,-240.16,3
0x86c7538c,LINK,13.7047,1.1684,Buy,2024-01-07 19:33:24,5.0206,fill,-8.0,5
0xd3dfa2f0,OP,3.1833,19.1545,Sell,2024-01-07 01:14:59,-19.0119,fill,103.17,20
0xdbb8fa6e,APT,9.8604,47.3763,Buy,2024-01-07 02:12:54,13.6836,fill,234.64,2
0x3a2c511e,SOL,94.2807,6.1838,Buy,2024-01-07 09:50:37,9.3915,fill,198.76,2
0x734c7e29,BTC,42058.6624,14.7674,Sell,2024-01-07 03:04:13,-29.2261,fill,-301.89,3
0xb355791f,OP,3.0829,11.9767,Buy,2024-01-07 02:43:58,20.2526,fill,165.82,10
0x2ebb92af,ETH,2198.493,7.684,Sell,2024-01-07 12:18:30,-17.8291,fill,-91.6,5
0xa4d45831,AVAX,34.8124,43.5053,Sell,2024-01-07 06:31:47,-29.6207,fill,-37.25,20
0x181c01b5,ARB,1.2271,4.0547,Sell,2024-01-07 23:04:59,-10.012,fill,85.08,20
0x718397ca,ARB,1.2001,11.1415,Buy,2024-01-07 18:18:14,3.9946,funding,0.68,10
0x46d9b92c,SOL,96.0389,2.7165,Sell,2024-01-07 14:36:29,-10.5962,fill,-6.46,2
0x2ebb92af,DOGE,0.0787,29.1675,Buy,2024-01-07 12:51:13,24.0089,fill,-371.17,3
0xd3dfa2f0,SOL,96.1691,2.1432,Sell,2024-01-07 05:26:42,-23.1367,fill,-17.74,3
0xd6f9bd6e,LINK,14.0995,15.7968,Buy,2024-01-07 20:48:03,38.1296,fill,21.49,3
0x20cc0e16,ETH,2230.1248,7.182,Sell,2024-01-07 03:07:05,-4.9645,fill,-74.58,20
0x734c7e29,BTC,44422.9122,4.7563,Buy,2024-01-07 00:37:24,19.4757,fill,17.75,2
0x11633489,ARB,1.1481,3.1008,Buy,2024-01-07 12:46:15,13.6177,fill,-16.12,3
0xd3dfa2f0,SOL,96.4438,5.6145,Buy,2024-01-07 04:18:45,9.258,fill,34.46,5
0x86c7538c,MATIC,0.8823,22.8465,Buy,2024-01-07 21:09:37,21.5509,fill,586.62,3
0x8362d113,MATIC,0.879,4.2551,Sell,2024-01-07 23:13:19,-333.4754,fill,-39.01,2
0x2ebb92af,LINK,13.8694,3.3356,Buy,2024-01-07 05:43:55,5.2237,fill,47.35,10
0xc744240f,LINK,14.3399,1.5892,Sell,2024-01-08 23:57:30,-27.1548,fill,12.92,20
0x2ebb92af,ARB,1.1403,3.6053,Buy,2024-01-08 05:12:34,17.3211,fill,-26.16,20
0xdbcd12c2,APT,9.3737,3.5895,Sell,2024-01-08 03:13:14,-20.0742,fill,-11.04,10
0xf87faa6d,ETH,2366.2907,7.1842,Sell,2024-01-08 18:38:34,-39.0309,fill,-16.51,10
0x16d92688,APT,9.6379,13.019,Sell,2024-01-08 16:49:13,-47.4905,fill,31.84,50
0xc93b82a3,SOL,92.5031,5.5412,Sell,2024-01-08 23:04:33,-21.9324,fill,0.81,25
0x8ba13e23,MATIC,0.893,2.5562,Sell,2024-01-08 12:51:59,-2.6176,fill,12.24,10
0x2ebb92af,ETH,2222.8369,2.3952,Buy,2024-01-08 18:41:03,32.302,fill,-16.75,10
0x7218933c,AVAX,34.8229,0.9675,Sell,2024-01-08 09:04:27,-26.8398,fill,-14.36,10
0x2a4c73f5,ETH,2285.5768,6.8621,Sell,2024-01-08 00:08:43,-6.0838,fill,-66.0,20
0xe4a395f7,APT,8.9789,28.609,Buy,2024-01-08 02:21:28,22.2301,fill,92.94,20
0x105653e3,DOGE,0.0806,0.7944,Sell,2024-01-08 10:51:28,-6.4435,fill,4.96,25
0xe34cbfaf,SOL,94.2407,8.908,Buy,2024-01-08 13:55:26,36.7059,fill,-131.46,20
0x86c7538c,AVAX,35.6501,6.1725,Sell,2024-01-08 00:13:58,-33.4423,funding,2.18,5
0xa1b4c210,BTC,38324.3786,2.4696,Sell,2024-01-08 15:44:42,-56.0871,fill,-17.71,20
0x705a5661,ETH,2377.9004,2.5692,Sell,2024-01-08 20:58:10,-3.5997,fill,11.98,10
0xdbb8fa6e,ARB,1.1689,35.4598,Sell,2024-01-08 18:14:35,-5.6147,fill,-553.86,10
0x7351513a,ETH,2215.2738,0.5945,Sell,2024-01-08 06:18:04,-148.5562,fill,-7.78,10
0xd3dfa2f0,LINK,14.1031,6.6972,Buy,2024-01-08 19:57:15,11.178,fill,34.03,25
0x17963822,DOGE,0.0785,2.1427,Buy,2024-01-08 21:27:08,13.0598,fill,-3.46,10
0xe34cbfaf,ARB,1.1915,39.6158,Buy,2024-01-08 18:06:24,97.0361,fill,146.52,5
0x16d92688,DOGE,0.0804,3.8223,Sell,2024-01-08 10:37:30,-9.3258,fill,-26.37,10
0xb355791f,ARB,1.151,6.83,Sell,2024-01-08 21:17:46,-18.3286,fill,-21.32,50
0xa1b4c210,SOL,101.3103,8.7071,Buy,2024-01-08 22:05:59,18.28,fill,-157.14,20
0x705a5661,ARB,1.2428,43.6387,Buy,2024-01-08 17:56:59,19.5293,fill,-179.0,20
0xc2da0d2f,BTC,42733.1316,2.0044,Sell,2024-01-08 02:43:51,-4.6098,fill,-9.42,20
0x1600888d,SOL,87.5846,24.859,Sell,2024-01-08 04:01:24,-41.965,fill,64.51,20
0x734c7e29,LINK,14.4186,15.6503,Sell,2024-01-08 16:27:27,-5.0574,fill,237.33,10
0xdbcd12c2,OP,3.2634,1.3442,Buy,2024-01-08 13:07:57,28.9755,fill,-21.84,50
0xf9c262ed,SOL,93.5953,1.3935,Sell,2024-01-08 19:31:09,-29.3616,funding,8.61,25
0x2ebb92af,MATIC,0.8991,3.4306,Sell,2024-01-09 08:16:49,-11.3175,fill,-81.57,10
0xc621fbcd,SOL,94.9017,1.7249,Sell,2024-01-09 04:13:12,-23.534,fill,-0.22,10
0x718397ca,APT,9.7215,2.4305,Sell,2024-01-09 17:50:28,-45.5479,fill,-4.98,20
0x11633489,ETH,2354.1435,0.5907,Buy,2024-01-09 18:02:05,9.8373,funding,1.28,50
0x1600888d,BTC,41647.6072,1.4719,Sell,2024-01-09 23:24:51,-49.9608,fill,-2.78,20
0xa791ffc1,ARB,1.2176,5.8848,Sell,2024-01-09 06:45:19,-20.9936,liquidation,-173.96,50
0xa791ffc1,ARB,1.2024,73.0508,Sell,2024-01-09 11:49:57,-208.0639,fill,16.28,10
0xbc5a4471,BTC,42408.3524,6.973,Sell,2024-01-09 18:18:35,-18.2659,fill,-5.64,5
0x339381eb,APT,10.2706,2.2484,Sell,2024-01-09 00:04:30,-18.8496,fill,12.06,25
0xa4d45831,BTC,40933.1024,10.6385,Sell,2024-01-09 15:20:43,-9.5462,fill,-128.67,50
0xed407866,ETH,2234.8672,24.6485,Sell,2024-01-09 22:05:53,-3.6356,fill,50.53,20
0xdbcd12c2,MATIC,0.8834,3.6101,Sell,2024-01-09 22:51:15,-32.4931,fill,-2.35,20
0x7351513a,BTC,42759.7886,6.8527,Sell,2024-01-09 21:44:24,-17.7821,fill,-96.1,10
0x5ac236be,OP,3.393,1.6922,Sell,2024-01-09 07:39:23,-3.1383,fill,-6.15,10
0xe34cbfaf,SOL,95.0401,2.7071,Sell,2024-01-09 06:35:15,-14.9641,fill,-8.37,10
0xad8c19b0,ETH,2330.1982,13.3537,Buy,2024-01-09 21:01:05,8.4451,funding,6.46,20
0xc621fbcd,ETH,2300.7782,0.8699,Sell,2024-01-09 10:45:35,-6.6882,fill,-10.16,25
0xb355791f,BTC,42190.1611,7.2144,Buy,2024-01-09 00:53:20,97.7907,fill,-106.6,50
0xc93b82a3,SOL,92.0248,1.7512,Sell,2024-01-09 03:42:35,-51.5521,fill,14.52,25
0x7351513a,MATIC,0.8832,4.8437,Sell,2024-01-09 07:18:45,-39.4544,fill,-69.58,5
0xbc5a4471,ARB,1.2372,6.9542,Buy,2024-01-09 14:59:49,23.0624,fill,10.5,20
0x705a5661,BTC,42601.7895,3.9996,Buy,2024-01-09 04:50:01,6.7501,fill,-34.22,10
0xc621fbcd,ARB,1.2327,1.1159,Buy,2024-01-09 10:29:49,20.3556,fill,-10.56,50
0x718397ca,DOGE,0.0807,11.945,Sell,2024-01-09 19:39:04,-31.3954,fill,68.21,25
0xe34cbfaf,BTC,43515.403,15.7465,Buy,2024-01-09 01:05:18,12.3022,fill,-181.08,25
0xc621fbcd,AVAX,32.0992,2.8618,Sell,2024-01-09 20:53:59,-26.0866,fill,-11.06,20
0x8ba13e23,OP,3.2268,9.3808,Sell,2024-01-09 19:25:03,-15.3268,fill,-64.57,50
0xd6f9bd6e,SOL,98.5847,0.2962,Buy,2024-01-09 11:12:36,23.795,fill,-7.76,10
0x2ebb92af,MATIC,0.8756,4.9679,Buy,2024-01-09 04:59:16,57.3687,fill,-15.67,10
0xa791ffc1,ETH,2402.0829,4.1248,Sell,2024-01-09 01:58:15,-10.0566,fill,-56.5,10
0x7351513a,AVAX,35.6527,1.2475,Sell,2024-01-10 17:17:52,-96.6732,fill,-3.12,50
0x8362d113,AVAX,33.9521,107.9438,Sell,2024-01-10 16:58:31,-8.3045,fill,776.54,20
0xb355791f,APT,9.1863,34.9815,Buy,2024-01-10 02:04:03,20.9603,liquidation,-1.41,25
0xe34cbfaf,SOL,94.2199,2.7813,Sell,2024-01-10 18:03:35,-39.1952,fill,-28.2,20
0x80171029,ARB,1.1984,0.7057,Sell,2024-01-10 20:34:03,-16.7216,fill,-9.09,10
0xa791ffc1,OP,3.2565,7.2481,Sell,2024-01-10 13:46:06,-26.8626,fill,-91.76,25
0xb355791f,AVAX,32.5092,34.2655,Sell,2024-01-10 21:49:22,-9.5355,fill,-630.95,5
0x718397ca,SOL,96.7563,3.693,Sell,2024-01-10 08:46:08,-62.414,fill,-30.86,25
0x339381eb,DOGE,0.0786,0.8325,Sell,2024-01-10 20:23:50,-7.7059,fill,-11.81,10
